Town;Area (Km²);Latitude;Longitude;NUTS_2;NUTS_3;NumSystems_20150131;NumSystems_20150228;NumSystems_20150331;NumSystems_20150430;NumSystems_20150531;NumSystems_20150630;NumSystems_20150731;NumSystems_20150831;NumSystems_20150930;NumSystems_20151031;NumSystems_20151130;NumSystems_20151231;NumSystems_20160131;NumSystems_20160229;NumSystems_20160331;NumSystems_20160430;NumSystems_20160531;NumSystems_20160630;NumSystems_20160731;NumSystems_20160831;NumSystems_20160930;NumSystems_20161031;NumSystems_20161130;NumSystems_20161231;NumSystems_20170131;NumSystems_20170228;NumSystems_20170331;NumSystems_20170430;NumSystems_20170531;NumSystems_20170630;NumSystems_20170731;NumSystems_20170831;NumSystems_20170930;NumSystems_20171031;NumSystems_20171130;NumSystems_20171231;NumSystems_20180131;NumSystems_20180228;NumSystems_20180331;NumSystems_20180430;NumSystems_20180531;NumSystems_20180630;NumSystems_20180731;NumSystems_20180831;NumSystems_20180930;NumSystems_20181031;NumSystems_20181130;NumSystems_20181231;NumSystems_20190131;NumSystems_20190228;NumSystems_20190331;NumSystems_20190430;NumSystems_20190531;NumSystems_20190630;NumSystems_20190731;NumSystems_20190831;NumSystems_20190930;NumSystems_20191031;NumSystems_20191130;NumSystems_20191231;NumSystems_20200131;NumSystems_20200229;NumSystems_20200331;NumSystems_20200430;NumSystems_20200531;NumSystems_20200630;NumSystems_20200731;NumSystems_20200831;NumSystems_20200930;NumSystems_20201031;NumSystems_20201130;NumSystems_20201231
Adrados;18.2;41.37;-4.11;ES41;ES416;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
Aduna;7.0;43.21;-2.06;ES21;ES212;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Àger;161.0;42.00;0.74;ES51;ES513;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Agón;18.5;41.85;-1.44;ES24;ES243;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Agoncillo;34.9;42.43;-2.28;ES23;ES230;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2
Agost;66.6;38.44;-0.64;ES52;ES521;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
Agramunt;79.4;41.79;1.07;ES51;ES513;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10;10
Ágreda;164.8;41.85;-1.90;ES41;ES417;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
Agres;25.8;38.79;-0.51;ES52;ES521;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
Aguadulce;13.7;37.25;-4.98;ES61;ES618;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Aguarón;36.6;41.34;-1.29;ES24;ES243;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26
Aguasal;27.0;41.29;-4.64;ES41;ES418;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2
Aguaviva;42.2;40.82;-0.20;ES24;ES242;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
Agudo;230.0;39.01;-4.82;ES42;ES422;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18;18
Aguilar de Campoo;235.3;42.79;-4.28;ES41;ES414;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8;8
Aguilar de Campos;49.8;41.98;-5.19;ES41;ES418;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3
Aguilar de la Frontera;166.1;37.46;-4.68;ES61;ES613;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76;76
